config,bench,run,wall_seconds
reli-1khz-relijit,sort-100k-x100,5,1.272
phpspy-1khz-jit,sort-100k-x100,6,1.289
reli-1khz-jit,sort-100k-x100,6,1.327
reli-1khz-relijit,sort-100k-x100,6,1.256
phpspy-1khz-jit,sort-100k-x100,7,1.121
reli-1khz-jit,sort-100k-x100,7,1.211
reli-1khz-relijit,sort-100k-x100,7,1.204
phpspy-1khz-jit,sort-100k-x100,8,1.158
reli-1khz-jit,sort-100k-x100,8,1.154
reli-1khz-relijit,sort-100k-x100,8,1.145
phpspy-1khz-jit,sort-100k-x100,9,1.149
reli-1khz-jit,sort-100k-x100,9,1.251
reli-1khz-relijit,sort-100k-x100,9,1.194
phpspy-1khz-jit,sort-100k-x100,10,1.124
reli-1khz-jit,sort-100k-x100,10,1.177
reli-1khz-relijit,sort-100k-x100,10,1.283
phpspy-1khz-jit,mandelbrot-500,1,0.316
reli-1khz-jit,mandelbrot-500,1,0.337
reli-1khz-relijit,mandelbrot-500,1,0.299
phpspy-1khz-jit,mandelbrot-500,2,0.327
reli-1khz-jit,mandelbrot-500,2,0.296
reli-1khz-relijit,mandelbrot-500,2,0.314
phpspy-1khz-jit,mandelbrot-500,3,0.315
reli-1khz-jit,mandelbrot-500,3,0.312
reli-1khz-relijit,mandelbrot-500,3,0.305
phpspy-1khz-jit,mandelbrot-500,4,0.309
reli-1khz-jit,mandelbrot-500,4,0.298
reli-1khz-relijit,mandelbrot-500,4,0.317
phpspy-1khz-jit,mandelbrot-500,5,0.292
reli-1khz-jit,mandelbrot-500,5,0.303
reli-1khz-relijit,mandelbrot-500,5,0.290
phpspy-1khz-jit,mandelbrot-500,6,0.300
reli-1khz-jit,mandelbrot-500,6,0.301
reli-1khz-relijit,mandelbrot-500,6,0.308
phpspy-1khz-jit,mandelbrot-500,7,0.293
reli-1khz-jit,mandelbrot-500,7,0.311
reli-1khz-relijit,mandelbrot-500,7,0.287
phpspy-1khz-jit,mandelbrot-500,8,0.289
reli-1khz-jit,mandelbrot-500,8,0.286
reli-1khz-relijit,mandelbrot-500,8,0.299
phpspy-1khz-jit,mandelbrot-500,9,0.301
reli-1khz-jit,mandelbrot-500,9,0.288
reli-1khz-relijit,mandelbrot-500,9,0.294
phpspy-1khz-jit,mandelbrot-500,10,0.295
reli-1khz-jit,mandelbrot-500,10,0.293
reli-1khz-relijit,mandelbrot-500,10,0.296
phpspy-1khz-jit,depth-30-2M,1,0.302
reli-1khz-jit,depth-30-2M,1,0.270
reli-1khz-relijit,depth-30-2M,1,0.276
phpspy-1khz-jit,depth-30-2M,2,0.309
reli-1khz-jit,depth-30-2M,2,0.268
reli-1khz-relijit,depth-30-2M,2,0.272
phpspy-1khz-jit,depth-30-2M,3,0.278
reli-1khz-jit,depth-30-2M,3,0.278
reli-1khz-relijit,depth-30-2M,3,0.300
phpspy-1khz-jit,depth-30-2M,4,0.283
reli-1khz-jit,depth-30-2M,4,0.283
reli-1khz-relijit,depth-30-2M,4,0.298
phpspy-1khz-jit,depth-30-2M,5,0.275
reli-1khz-jit,depth-30-2M,5,0.272
