config,bench,run,wall_seconds
phpspy-1khz,sort-100k-x100,10,1.202
reli-1khz,sort-100k-x100,10,1.130
phpspy-1khz,mandelbrot-500,1,0.552
reli-1khz,mandelbrot-500,1,0.517
phpspy-1khz,mandelbrot-500,2,0.527
reli-1khz,mandelbrot-500,2,0.537
phpspy-1khz,mandelbrot-500,3,0.521
reli-1khz,mandelbrot-500,3,0.513
phpspy-1khz,mandelbrot-500,4,0.520
reli-1khz,mandelbrot-500,4,0.538
phpspy-1khz,mandelbrot-500,5,0.520
reli-1khz,mandelbrot-500,5,0.508
phpspy-1khz,mandelbrot-500,6,0.529
reli-1khz,mandelbrot-500,6,0.546
phpspy-1khz,mandelbrot-500,7,0.528
reli-1khz,mandelbrot-500,7,0.522
phpspy-1khz,mandelbrot-500,8,0.543
reli-1khz,mandelbrot-500,8,0.519
phpspy-1khz,mandelbrot-500,9,0.541
reli-1khz,mandelbrot-500,9,0.634
phpspy-1khz,mandelbrot-500,10,0.546
reli-1khz,mandelbrot-500,10,0.522
phpspy-1khz,depth-30-2M,1,1.635
reli-1khz,depth-30-2M,1,1.651
phpspy-1khz,depth-30-2M,2,1.626
reli-1khz,depth-30-2M,2,1.645
phpspy-1khz,depth-30-2M,3,1.618
reli-1khz,depth-30-2M,3,1.634
phpspy-1khz,depth-30-2M,4,1.618
reli-1khz,depth-30-2M,4,1.637
phpspy-1khz,depth-30-2M,5,1.839
reli-1khz,depth-30-2M,5,1.765
phpspy-1khz,depth-30-2M,6,1.837
reli-1khz,depth-30-2M,6,1.806
phpspy-1khz,depth-30-2M,7,1.695
reli-1khz,depth-30-2M,7,1.621
phpspy-1khz,depth-30-2M,8,1.605
reli-1khz,depth-30-2M,8,1.634
phpspy-1khz,depth-30-2M,9,1.620
reli-1khz,depth-30-2M,9,1.615
phpspy-1khz,depth-30-2M,10,1.631
reli-1khz,depth-30-2M,10,1.587
phpspy-1khz,depth-100-1M,1,1.249
reli-1khz,depth-100-1M,1,1.228
phpspy-1khz,depth-100-1M,2,1.350
reli-1khz,depth-100-1M,2,1.480
phpspy-1khz,depth-100-1M,3,1.223
reli-1khz,depth-100-1M,3,1.263
phpspy-1khz,depth-100-1M,4,1.288
reli-1khz,depth-100-1M,4,1.250
phpspy-1khz,depth-100-1M,5,1.220
reli-1khz,depth-100-1M,5,1.257
phpspy-1khz,depth-100-1M,6,1.232
reli-1khz,depth-100-1M,6,1.240
phpspy-1khz,depth-100-1M,7,1.236
reli-1khz,depth-100-1M,7,1.241
phpspy-1khz,depth-100-1M,8,1.233
reli-1khz,depth-100-1M,8,1.467
phpspy-1khz,depth-100-1M,9,1.289
reli-1khz,depth-100-1M,9,1.280
phpspy-1khz,depth-100-1M,10,1.273
reli-1khz,depth-100-1M,10,1.248
